id,URL,headline,author,date
53f04380-c9a1-4e61-a9f3-858e60ecb081,https://www.theverge.com/23664746/framework-laptop-excitement-vpr-matrix-history-nostalgia,Framework’s computers aren’t perfect but they are exciting,Dan Seifert,2023-04-02T13:00:00.000Z
4bb0a243-6576-4e94-9149-a4cca089678c,https://www.theverge.com/2023/4/2/23662863/super73-adventure-e-bikes-k1d-kids-price-specs,Super73 launches Adventure Series and first e-bike for danger babies,Thomas Ricker,2023-04-02T06:38:35.211Z
320500ca-51de-400f-a979-1b715d932fe2,https://www.theverge.com/23641940/home-assistant-skyconnect-thread-matter-zigbee-smart-home,The Home Assistant SkyConnect is a great excuse to demolish your smart home and start from scratch,Chris Person,2023-04-02T14:00:00.000Z
2c726855-8a2e-4500-9283-405959b3901e,https://www.theverge.com/23648726/hp-officejet-printer-region-how-to-change-why,How to change the region on an HP OfficeJet printer in 57 easy steps (printer companies hate this!),Nathan Edwards,2023-04-01T12:00:00.000Z
ae289d56-11eb-46a1-bb4a-41b838397cca,https://www.theverge.com/23664533/medicare-advantage-healthcare-algorithm,When healthcare is decided by algorithms who wins?,Barbara Krasnoff,2023-04-01T15:00:00.000Z
7e3358c2-1bec-46a4-b7ba-69572c5ddc71,https://www.theverge.com/2023/4/2/23666795/western-digital-xbox-storage-expansion-card,Cheaper Xbox expandable storage cards are on the way,Tom Warren,2023-04-02T13:05:54.653Z
7e926fb0-7e76-4557-a659-94e22dcf3188,https://www.theverge.com/good-deals/2023/4/1/23665082/google-pixel-6a-sony-wf-1000xm4-earbuds-amazon-echo-ipad-mini-deal-sale,The newest iPad Mini and Google’s Pixel 6A top our favorite deals of the week,Brandon Widder,2023-04-01T15:22:50.707Z
ca8eb100-7bbf-4971-9411-9079bc7be8c9,https://www.theverge.com/2023/4/1/23666084/asus-rog-ally-handheld-windows-gaming-portable,It’s April Fools’ Day but this Asus ROG Ally handheld gaming PC might not be a joke,Richard Lawler,2023-04-01T22:12:34.763Z
874a093f-72b8-4d18-83ab-5f3c0e809abe,https://www.theverge.com/2023/4/1/23662992/riot-games-arena-valorant-esports-league,Riot made its esports arena transform for new Valorant league,Andrew Webster,2023-04-01T13:30:00.000Z
457b30c9-6e53-4340-afa0-b329c61bdc9a,https://www.theverge.com/2023/3/30/23660652/asus-rog-flow-z13-acronym-gaming-laptop-tablet-review,Y’all this laptop is too much,Monica Chin,2023-03-31T00:00:00.000Z
